Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
EIF2S2	"EIF2, EIF2beta, PPP1R67"	ENSG00000125977	"Eukaryotic translation initiation factor 2 subunit beta"	P20042	20	34088309-34112243	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Protein biosynthesis"	"Initiation factor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034415, HPA041262, HPA041332, HPA065768"	Enhanced		Supported	"Nucleoli,Endoplasmic reticulum"			NA	NA		480000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 15: Non-specific - Mixed function"	13	"Endoplasmic reticulum"	Nucleoli	"CAB034415: AB_2095998, HPA041262: AB_2677381, HPA041332: AB_2677417, HPA065768: "	"unprognostic (5.76e-3)"	"unprognostic (7.12e-2)"	"unprognostic (2.66e-2)"	"prognostic unfavorable (8.74e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.47e-3)"	"prognostic unfavorable (3.23e-5)"	"unprognostic (9.36e-3)"	"unprognostic (2.39e-1)"	"unprognostic (6.55e-3)"	"unprognostic (3.04e-3)"	"unprognostic (1.25e-2)"	"prognostic unfavorable (9.64e-10)"	"unprognostic (2.52e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.12e-2)"
EIF3B	"EIF3S9, PRT1"	ENSG00000106263	"Eukaryotic translation initiation factor 3 subunit B"	P55884	7	2354086-2380745	"Plasma proteins, Predicted intracellular proteins"	"Protein biosynthesis"	"Initiation factor, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB017562, HPA048983"	Approved		Approved	Nucleoplasm,Cytosol			NA	NA		180000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 27: Non-specific - Mixed function"	"Cluster 67: Non-specific - Unknown function"	"Cluster 33: Non-specific - DNA binding"	14	Cytosol	Nucleoplasm	"CAB017562: AB_2246341, HPA048983: AB_2680588"	"unprognostic (1.50e-3)"	"unprognostic (2.71e-1)"	"unprognostic (2.34e-2)"	"unprognostic (3.92e-2)"	"unprognostic (9.45e-3)"	"prognostic unfavorable (2.20e-4)"	"prognostic unfavorable (4.41e-9)"	"unprognostic (4.64e-3)"	"unprognostic (3.68e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.55e-1)"	"unprognostic (3.47e-1)"	"prognostic unfavorable (9.66e-6)"	"unprognostic (2.38e-1)"	"unprognostic (7.54e-2)"	"unprognostic (9.00e-2)"	"unprognostic (6.18e-3)"
EIF3C	"eIF3-p110, EIF3S8"	ENSG00000184110	"Eukaryotic translation initiation factor 3 subunit C"	Q99613	16	28688558-28735727	"Plasma proteins, Predicted intracellular proteins"	"Protein biosynthesis"	"Initiation factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												"CAB034045, HPA047097, HPA049495, HPA050112"	Supported		Supported	Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 14: Neurons - Synaptic function"	"Cluster 54: Non-specific - Transcription"	"Cluster 49: Non-specific - Transcription"	16	Cytosol		"CAB034045: AB_1122487, HPA047097: AB_2679930, HPA049495: AB_2680793, HPA050112: AB_2681020"	"unprognostic (2.42e-1)"	"unprognostic (2.69e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.18e-1)"	"unprognostic (5.84e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.85e-2)"	"unprognostic (5.75e-2)"	"unprognostic (7.23e-2)"	"unprognostic (1.40e-1)"	"unprognostic (3.90e-2)"	"unprognostic (6.54e-3)"	"unprognostic (3.53e-3)"	"unprognostic (2.25e-1)"	"unprognostic (1.48e-1)"	"unprognostic (6.42e-2)"	"unprognostic (1.10e-3)"
EIF3CL		ENSG00000205609	"Eukaryotic translation initiation factor 3 subunit C like"	B5ME19	16	28379579-28403841	"Predicted intracellular proteins"	"Protein biosynthesis"	"Initiation factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Basal squamous epithelial cells: 2.9;Erythroid cells: 8.6;Plasma cells: 3.2;Squamous epithelial cells: 3.4"	"Group enriched"	"Detected in some"	5	"glioma: 0.8;ovarian cancer: 0.5;stomach cancer: 0.7"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"												"HPA047097, HPA049495, HPA050112"	Supported		Approved	Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 66: Non-specific - Transcription"	"Cluster 37: Neurons - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 15: Non-specific - Mixed function"	1	Cytosol		"HPA047097: AB_2679930, HPA049495: AB_2680793, HPA050112: AB_2681020"	"unprognostic (1.22e-1)"	"unprognostic (4.24e-2)"	"unprognostic (2.40e-1)"	"unprognostic (4.48e-3)"	"unprognostic (1.98e-1)"	"unprognostic (4.59e-2)"	"unprognostic (1.75e-5)"	"unprognostic (6.56e-2)"	"unprognostic (1.64e-1)"	"unprognostic (7.58e-2)"	"unprognostic (1.48e-1)"	"unprognostic (1.18e-3)"	"unprognostic (3.59e-2)"	"unprognostic (9.52e-2)"	"unprognostic (1.41e-1)"	"unprognostic (9.00e-3)"	"unprognostic (3.58e-2)"
EIF3G	"eIF3-delta, eIF3-p44, EIF3S4"	ENSG00000130811	"Eukaryotic translation initiation factor 3 subunit G"	O75821	19	10115014-10119918	"Plasma proteins, Predicted intracellular proteins"	"Protein biosynthesis"	"Initiation factor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 1462.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041997	Approved		Enhanced	Cytosol			NA	NA		64000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 7: Non-specific - Ribosome"	"Cluster 23: Non-specific - Transcription"	"Cluster 64: Non-specific - Ribosome"	12	Cytosol		"HPA041997: AB_10804123"	"unprognostic (1.80e-2)"	"unprognostic (2.16e-2)"	"unprognostic (9.00e-2)"	"unprognostic (3.33e-2)"	"unprognostic (2.22e-2)"	"unprognostic (2.33e-2)"	"unprognostic (2.55e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.73e-1)"	"prognostic favorable (3.94e-4)"	"unprognostic (4.90e-2)"	"unprognostic (3.04e-1)"	"unprognostic (1.98e-1)"	"unprognostic (2.40e-2)"	"unprognostic (7.63e-2)"	"unprognostic (1.91e-1)"	"unprognostic (2.43e-1)"
EIF4A3	"DDX48, EIF4AIII, Fal1, KIAA0111"	ENSG00000141543	"Eukaryotic translation initiation factor 4A3"	P38919	17	80134369-80147151	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA processing, mRNA splicing, mRNA transport, Nonsense-mediated mRNA decay, rRNA processing, Translation regulation, Transport"	"Helicase, Hydrolase, RNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA021878	Supported		Supported	Nucleoplasm			NA	NA		280000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 55: Non-specific - Transcription"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 80: Non-specific - Transcription"	30	Nucleoplasm		"HPA021878: AB_1848090"	"unprognostic (7.24e-2)"	"unprognostic (7.33e-3)"	"prognostic favorable (3.57e-5)"	"unprognostic (1.29e-2)"	"unprognostic (2.95e-1)"	"unprognostic (2.52e-2)"	"prognostic unfavorable (1.68e-5)"	"prognostic unfavorable (1.87e-4)"	"unprognostic (3.71e-1)"	"unprognostic (5.06e-2)"	"unprognostic (4.64e-2)"	"unprognostic (2.64e-2)"	"unprognostic (9.78e-3)"	"unprognostic (5.81e-2)"	"unprognostic (9.20e-2)"	"unprognostic (1.38e-2)"	"unprognostic (2.91e-3)"
EIF4ENIF1	"2610509L04Rik, 4E-T, Clast4, FLJ21601"	ENSG00000184708	"Eukaryotic translation initiation factor 4E nuclear import factor 1"	Q9NRA8	22	31436977-31496108	"Plasma proteins, Predicted intracellular proteins"	"Protein transport, RNA-mediated gene silencing, Translation regulation, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 98.7;Oocytes: 158.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001619, HPA002078"	Enhanced		Enhanced	Vesicles			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 72: Testis & Skeletal muscle - Protein ubiquitination"	"Cluster 16: Non-specific - Transcription"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 44: Oocytes - Unknown function"	20	Vesicles		"HPA001619: AB_1078727, HPA002078: AB_1078728"	"unprognostic (1.16e-1)"	"unprognostic (1.63e-1)"	"unprognostic (2.40e-2)"	"unprognostic (3.01e-2)"	"unprognostic (1.53e-1)"	"unprognostic (6.72e-2)"	"unprognostic (2.28e-3)"	"unprognostic (1.30e-2)"	"unprognostic (4.95e-2)"	"unprognostic (9.92e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.80e-1)"	"prognostic favorable (1.57e-4)"	"unprognostic (2.30e-1)"	"unprognostic (1.92e-1)"	"unprognostic (7.32e-2)"	"unprognostic (2.45e-2)"
ELAVL3	"DKFZp547J036, HUC, HUCL, MGC20653, PLE21"	ENSG00000196361	"ELAV like RNA binding protein 3"	Q14576	19	11451326-11481046	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	26	"brain: 150.8"	"Group enriched"	"Detected in some"	7	"Astrocytes: 35.0;Excitatory neurons: 75.5;Horizontal cells: 100.7;Inhibitory neurons: 87.2;Oligodendrocyte precursor cells: 34.0;Oligodendrocytes: 111.8"	"Cancer enriched"	"Detected in some"	10	"glioma: 11.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Neuroblastoma: 88.2"	"Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB013066	Enhanced						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 37: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 51: Oligodendrocytes - Unknown function"				"CAB013066: AB_221448"	"unprognostic (1.47e-2)"	"unprognostic (2.29e-2)"	"unprognostic (1.70e-1)"	"unprognostic (7.78e-3)"	"unprognostic (8.76e-2)"	"unprognostic (2.95e-3)"	"unprognostic (1.04e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.22e-2)"	"unprognostic (2.44e-1)"	"unprognostic (5.93e-3)"	"unprognostic (1.86e-2)"	"unprognostic (2.15e-3)"	"unprognostic (2.26e-2)"	"unprognostic (1.09e-1)"	"unprognostic (2.63e-1)"	"unprognostic (9.60e-3)"
ELF2	"EU32, NERF, NERF-1A, NERF-1B, NERF-2"	ENSG00000109381	"E74 like ETS transcription factor 2"	Q15723	4	139028112-139177218	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 215.1;Oligodendrocytes: 260.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"							"HPA006057, HPA071166"	Enhanced		Supported	"Nucleoplasm,Nuclear bodies"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 55: Non-specific - Transcription"	1	Nucleoplasm	"Nuclear bodies"	"HPA006057: AB_1078733, HPA071166: AB_2686351"	"unprognostic (7.21e-2)"	"unprognostic (3.84e-2)"	"unprognostic (7.41e-2)"	"unprognostic (3.72e-2)"	"unprognostic (2.29e-1)"	"unprognostic (2.80e-2)"	"unprognostic (1.49e-1)"	"unprognostic (2.43e-2)"	"unprognostic (7.05e-3)"	"unprognostic (1.67e-1)"	"unprognostic (5.73e-2)"	"unprognostic (2.21e-2)"	"unprognostic (2.48e-2)"	"unprognostic (3.65e-1)"	"unprognostic (3.47e-1)"	"unprognostic (1.31e-1)"	"unprognostic (4.97e-3)"
ELOVL7	FLJ23563	ENSG00000164181	"ELOVL fatty acid elongase 7"	A1L3X0	5	60751791-60844274	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"Microglial cells: 181.6;Oligodendrocytes: 84.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"basophil: 1.9;neutrophil: 1.3"	"Lineage enriched"	"Detected in single"	17	"granulocytes: 1.9"	"Low cancer specificity"	"Detected in many"			"Liver - Cholangiocyte, Skeletal muscle - Endothelial cells, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA036337	Approved						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 51: Oligodendrocytes - Unknown function"	11			"HPA036337: AB_10670797"	"unprognostic (6.34e-2)"	"unprognostic (1.96e-2)"	"unprognostic (1.51e-2)"	"prognostic unfavorable (3.87e-5)"	"unprognostic (3.84e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.60e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.79e-1)"	"unprognostic (2.37e-1)"	"unprognostic (2.10e-1)"	"prognostic favorable (1.54e-9)"	"unprognostic (6.95e-2)"	"unprognostic (1.01e-3)"	"unprognostic (2.94e-1)"	"unprognostic (6.30e-3)"
EML4	"C2orf2, ELP120, ROPP120"	ENSG00000143924	"EMAP like 4"	Q9HC35	2	42169353-42332548	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"T-cells: 223.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Rhabdoid: 174.7"	"Skeletal muscle - Endothelial cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036687, HPA036688, HPA065337"	Enhanced		Supported	Microtubules,Cytosol			NA	NA		25000	"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 45: Intestine - Digestion"	"Cluster 12: Non-specific - Vasculature"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	1	Microtubules	Cytosol	"HPA036687: AB_2675251, HPA036688: AB_10671968, HPA065337: AB_2685474"	"unprognostic (1.70e-1)"	"unprognostic (1.38e-1)"	"unprognostic (8.17e-2)"	"unprognostic (3.53e-3)"	"unprognostic (1.79e-2)"	"unprognostic (9.19e-2)"	"unprognostic (8.61e-3)"	"unprognostic (1.61e-2)"	"unprognostic (2.96e-3)"	"unprognostic (6.80e-2)"	"unprognostic (7.44e-2)"	"unprognostic (1.60e-2)"	"unprognostic (1.86e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.39e-1)"	"unprognostic (2.13e-2)"
ENSG00000256591		ENSG00000256591	"Novel transcript"		11	61429220-61485822	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 8.5;Rod photoreceptor cells: 14.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Kidney - Endothelial cells"									HPA039732	Approved						NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 16: Non-specific - Transcription"	"Cluster 27: Non-specific - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 49: Non-specific - Transcription"				"HPA039732: AB_10962868"	"unprognostic (1.23e-1)"	"unprognostic (8.61e-2)"	"unprognostic (9.60e-2)"	"unprognostic (4.91e-2)"	"unprognostic (5.69e-2)"	"unprognostic (5.98e-2)"	"unprognostic (4.41e-2)"	"unprognostic (6.40e-2)"	"unprognostic (3.53e-2)"	"unprognostic (5.83e-2)"	"unprognostic (4.98e-1)"	"unprognostic (2.28e-1)"	"unprognostic (2.36e-7)"	"unprognostic (5.74e-2)"	"unprognostic (9.69e-2)"	"unprognostic (1.40e-1)"	"unprognostic (4.66e-3)"
ENSG00000285130		ENSG00000285130	"Novel protein"		9	69035747-69255187	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"Basal squamous epithelial cells: 6.9;Erythroid cells: 8.2;Plasma cells: 5.2;Squamous epithelial cells: 9.0"					"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA001813, HPA068304, HPA070714"	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"			NA	NA						"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 49: Non-specific - Transcription"		"Nucleoplasm, Plasma membrane, Cell Junctions"		"HPA001813: AB_1080764, HPA068304: AB_2685970, HPA070714: AB_2732161"																	
ENSG00000285304		ENSG00000285304	"Novel protein"		22	37639693-37666932	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in many"		"bone marrow: 8.7"	"Not detected"	"Not detected"							"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"												HPA000757	Approved		Approved	Cytosol			NA	NA					"Cluster 53: Neurons - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 61: Plasma cells - Immunoglobulins & histones"		Cytosol		"HPA000757: AB_1079951"																	
ENTPD5	"CD39L4, NTPDase-5, PCPH"	ENSG00000187097	"Ectonucleoside triphosphate diphosphohydrolase 5 (inactive)"	O75356	14	73958010-74019399	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		Hydrolase	Proto-oncogene	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 103.8;kidney: 91.8;liver: 255.6"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 190.4;Hepatocytes: 115.5;Intestinal goblet cells: 86.4;Prostatic glandular cells: 78.6;Proximal enterocytes: 79.9"	"Group enriched"	"Detected in all"	5	"liver cancer: 18.2;prostate cancer: 39.9"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"basophil: 18.4;eosinophil: 9.4"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 18.4"	"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA002927	Enhanced				"Secreted to blood"	Enzyme	NA	NA		5900000	"Cluster 46: Basophils - Proteolysis"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 5: Enterocytes - Absorption"	2			"HPA002927: AB_1078744"	"unprognostic (4.19e-1)"	"unprognostic (9.63e-3)"	"unprognostic (3.11e-2)"	"unprognostic (2.06e-2)"	"unprognostic (1.98e-1)"	"unprognostic (3.87e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.19e-1)"	"unprognostic (3.34e-1)"	"unprognostic (6.01e-2)"	"unprognostic (6.20e-2)"	"unprognostic (2.55e-1)"	"prognostic favorable (3.95e-5)"	"unprognostic (1.25e-1)"	"unprognostic (5.06e-2)"	"unprognostic (1.76e-1)"	"unprognostic (6.92e-3)"
ENTPD6	"CD39L2, dJ738P15.3, IL6ST2, NTPDase-6"	ENSG00000197586	"Ectonucleoside triphosphate diphosphohydrolase 6"	O75354	20	25195693-25228075	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015491, HPA069555"	Approved		Supported	"Golgi apparatus"	"Secreted to blood"	Enzyme	NA	NA		41000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 33: Neurons - Mixed function"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Golgi apparatus"		"HPA015491: AB_2669200, HPA069555: AB_2686152"	"unprognostic (3.24e-1)"	"unprognostic (1.27e-2)"	"unprognostic (5.91e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.76e-1)"	"unprognostic (4.44e-1)"	"unprognostic (2.10e-3)"	"unprognostic (7.41e-3)"	"unprognostic (2.74e-3)"	"unprognostic (1.17e-1)"	"unprognostic (2.14e-1)"	"unprognostic (1.03e-1)"	"unprognostic (8.14e-3)"	"unprognostic (1.78e-2)"	"unprognostic (2.74e-1)"	"unprognostic (4.86e-2)"	"unprognostic (4.48e-2)"
