riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs5743293-?	1E-320	"(subset analysis)"	NR	-	-	-	NOD2,CYLD-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	16:50729868	26974007	"Ellinghaus D"
rs11117431-?	5E-16	"(subset analysis)"	NR	-	-	-	LINC02132,LINC01082	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	16:85981710	26974007	"Ellinghaus D"
rs12932970-?	1E-8	"(subset analysis)"	NR	-	-	-	LINC01082,LINC02132	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	16:85970504	26974007	"Ellinghaus D"
rs11190133-?	6E-9	"(subset analysis)"	NR	-	-	-	GOT1-DT,LINC01475	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	10:99518968	26974007	"Ellinghaus D"
rs10743181-?	2E-8	"(subset analysis)"	NR	-	-	-	MIR4686,ASCL2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:2208529	26974007	"Ellinghaus D"
rs11229555-?	4E-8	"(subset analysis)"	NR	-	-	-	GLYAT	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:58641214	26974007	"Ellinghaus D"
rs10750899-?	2E-7	"(subset analysis)"	NR	-	-	-	OR5B21,LPXN	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:58517478	26974007	"Ellinghaus D"
rs11230563-?	5E-15	"(subset analysis)"	NR	-	-	-	CD6	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:61008737	26974007	"Ellinghaus D"
rs174535-?	2E-11	"(subset analysis)"	NR	-	-	-	MYRF,TMEM258	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:61783884	26974007	"Ellinghaus D"
rs559928-?	8E-14	"(subset analysis)"	NR	-	-	-	LINC02723,RPS6KA4	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:64382898	26974007	"Ellinghaus D"
rs568617-?	4E-8	"(subset analysis)"	NR	-	-	-	FIBP	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:65885771	26974007	"Ellinghaus D"
rs11236797-?	3E-43	"(subset analysis)"	NR	-	-	-	EMSY,LINC02757	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:76588605	26974007	"Ellinghaus D"
rs7115956-?	8E-12	"(subset analysis)"	NR	-	-	-	RDX	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:110085620	26974007	"Ellinghaus D"
rs4561177-?	1E-9	"(subset analysis)"	NR	-	-	-	RDX	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:110091706	26974007	"Ellinghaus D"
rs661054-?	2E-14	"(subset analysis)"	NR	-	-	-	NXPE1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:114559688	26974007	"Ellinghaus D"
rs7933433-?	1E-10	"(subset analysis)"	NR	-	-	-	LINC02098,ETS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:128324555	26974007	"Ellinghaus D"
rs11221332-?	2E-10	"(subset analysis)"	NR	-	-	-	ETS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:128511079	26974007	"Ellinghaus D"
rs11221322-?	1E-6	"(subset analysis)"	NR	-	-	-	ETS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	11:128476898	26974007	"Ellinghaus D"
rs1860545-?	3E-17	"(subset analysis)"	NR	-	-	-	TNFRSF1A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:6337611	26974007	"Ellinghaus D"
rs11616188-?	3E-14	"(subset analysis)"	NR	-	-	-	LTBR,RPL31P10	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:6393576	26974007	"Ellinghaus D"
rs7313895-?	4E-17	"(subset analysis)"	NR	-	-	-	LRRK2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:40350592	26974007	"Ellinghaus D"
rs11168249-?	6E-9	"(subset analysis)"	NR	-	-	-	HDAC7	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:47814585	26974007	"Ellinghaus D"
rs11614178-?	2E-34	"(subset analysis)"	NR	-	-	-	IFNG-AS1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:68114342	26974007	"Ellinghaus D"
rs12369214-?	2E-8	"(subset analysis)"	NR	-	-	-	RIC8B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:106804833	26974007	"Ellinghaus D"
rs3184504-?	4E-10	"(subset analysis)"	NR	-	-	-	ATXN2,SH2B3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	12:111446804	26974007	"Ellinghaus D"
rs17085007-?	2E-13	"(subset analysis)"	NR	-	-	-	RPS21P8,FGFR1OP2P1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	13:26957130	26974007	"Ellinghaus D"
rs941823-?	7E-11	"(subset analysis)"	NR	-	-	-	LINC00598	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	13:40439840	26974007	"Ellinghaus D"
rs6561151-?	1E-22	"(subset analysis)"	NR	-	-	-	NRAD1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	13:43910570	26974007	"Ellinghaus D"
rs4243971-?	5E-9	"(subset analysis)"	NR	-	-	-	KIF3B,POFUT1	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:32261714	26974007	"Ellinghaus D"
rs6058869-?	4E-9	"(subset analysis)"	NR	-	-	-	COMMD7,DNMT3B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:32760944	26974007	"Ellinghaus D"
rs4812833-?	7E-16	"(subset analysis)"	NR	-	-	-	LINC01620	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:44440356	26974007	"Ellinghaus D"
rs79493594-?	4E-7	"(subset analysis)"	NR	-	-	-	PKIG	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:44561731	26974007	"Ellinghaus D"
rs1883832-?	4E-12	"(subset analysis)"	NR	-	-	-	CD40	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:46118343	26974007	"Ellinghaus D"
rs1328454-?	4E-9	"(subset analysis)"	NR	-	-	-	SLC9A8	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:49823486	26974007	"Ellinghaus D"
rs259964-?	4E-12	"(subset analysis)"	NR	-	-	-	ZNF831	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:59249254	26974007	"Ellinghaus D"
rs6062496-?	2E-30	"(subset analysis)"	NR	-	-	-	RTEL1-TNFRSF6B,TNFRSF6B	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	20:63697746	26974007	"Ellinghaus D"
rs2823288-?	4E-28	"(subset analysis)"	NR	-	-	-	LINC02920,CYCSP42	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	21:15448569	26974007	"Ellinghaus D"
rs2284553-?	4E-16	"(subset analysis)"	NR	-	-	-	IFNGR2	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	21:33404389	26974007	"Ellinghaus D"
rs9977672-?	5E-54	"(subset analysis)"	NR	-	-	-	LINC02940,RPL23AP12	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	21:39091357	26974007	"Ellinghaus D"
rs1893592-?	6E-9	"(subset analysis)"	NR	-	-	-	UBASH3A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	21:42434957	26974007	"Ellinghaus D"
rs4456788-?	6E-25	"(subset analysis)"	NR	-	-	-	GATD3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	21:44196441	26974007	"Ellinghaus D"
rs2266961-?	4E-15	"(subset analysis)"	NR	-	-	-	UBE2L3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	22:21574308	26974007	"Ellinghaus D"
rs140135-?	6E-9	"(subset analysis)"	NR	-	-	-	UQCR10	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	22:29767846	26974007	"Ellinghaus D"
rs2143178-?	2E-33	"(subset analysis)"	NR	-	-	-	RPL3,PDGFB	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	22:39264824	26974007	"Ellinghaus D"
rs5757584-?	4E-9	"(subset analysis)"	NR	-	-	-	PDGFB,RPL3	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	22:39266545	26974007	"Ellinghaus D"
rs1569414-?	6E-10	"(subset analysis)"	NR	-	-	-	FAM118A	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	22:45331684	26974007	"Ellinghaus D"
rs10761648-?	6E-16	"(subset analysis)"	NR	-	-	-	LINC02929	"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	"ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis"	-	GCST005537	10:62594503	26974007	"Ellinghaus D"
rs12122337-G	1E-6	"(CDC Perianal)"	0.06	2.2	-	" [1.56-3.07]"	CFAP45,TAGLN2	"Crohn's disease-related phenotypes"	"perianal Crohn's disease,complicated disease course"	-	GCST002729	1:159916632	25557950	"Alonso A"
rs2076756-?	5E-10	" "	NR	-	-	-	NOD2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000008	16:50722970	17068223	"Duerr RH"
rs2315008-G	9E-15	" "	0.69	1.36	-	[1.05-1.76]	ZGPAT	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	20:63712604	18758464	"Kugathasan S"
rs5743289-T	4E-10	" "	0.17	1.46	-	[1.29-1.64]	NOD2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	16:50722863	18758464	"Kugathasan S"
rs477515-?	1E-8	" "	0.69	1.38	-	[1.23-1.54]	HLA-DRB1,HLA-DQA1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	6:32601914	18758464	"Kugathasan S"
rs6478109-?	3E-8	" "	0.69	1.36	-	[1.22-1.52]	DELEC1,TNFSF15	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	9:114806486	18758464	"Kugathasan S"
rs2836878-?	4E-12	" "	0.72	1.41	-	[1.08-1.84]	LINC02940,RPL23AP12	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	21:39093608	18758464	"Kugathasan S"
rs11209026-?	7E-11	" "	0.94	2.56	-	[1.92-3.45]	IL23R	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST000225	1:67240275	18758464	"Kugathasan S"
rs2412973-?	2E-9	-	0.46	1.15	-	[1.01-1.31]	HORMAD2	"Inflammatory bowel disease (early onset)"	"inflammatory bowel disease"	-	GCST000531	22:30133642	19915574	"Imielinski M"
rs8049439-G	2E-9	-	0.37	1.14	-	[1.00-1.30]	ATXN2L	"Inflammatory bowel disease (early onset)"	"inflammatory bowel disease"	-	GCST000531	16:28826194	19915574	"Imielinski M"
rs10500264-?	4E-10	-	0.18	1.21	-	[1.11-1.31]	SLC7A10,CEBPA	"Inflammatory bowel disease (early onset)"	"inflammatory bowel disease"	-	GCST000531	19:33259408	19915574	"Imielinski M"
rs1250550-?	6E-9	-	0.68	1.16	-	[1.09-1.25]	ZMIZ1	"Inflammatory bowel disease (early onset)"	"inflammatory bowel disease"	-	GCST000531	10:79300560	19915574	"Imielinski M"
chr5:17098189-AT	1E-8	-	0.78	1.13	-	[NR]	-	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	-	33608531	"Wu Y"
chr9:5057580-CTTT	5E-10	-	0.56	0.9	-	[NR]	-	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	-	33608531	"Wu Y"
rs7936312-G	7E-11	-	0.52	0.9	-	[NR]	EMSY,LINC02757	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	11:76582682	33608531	"Wu Y"
rs35788599-G	3E-11	-	0.62	0.89	-	[NR]	IFNG-AS1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	12:68082969	33608531	"Wu Y"
rs1297261-T	2E-12	-	0.57	1.13	-	[NR]	CYCSP42,LINC02920	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	21:15440304	33608531	"Wu Y"
rs2836878-G	2E-21	-	0.73	1.21	-	[NR]	LINC02940,RPL23AP12	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	21:39093608	33608531	"Wu Y"
rs59998884-T	1E-9	-	0.4	1.11	-	[NR]	GATD3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	21:44198231	33608531	"Wu Y"
rs73370726-C	2E-8	-	0.9	1.19	-	NR	MIR4679-2,CH25H	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	10:89093116	33608531	"Wu Y"
rs12568930-T	3E-8	-	0.82	1.14	-	[NR]	PPIAP34,ZBTB40	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:22375738	33608531	"Wu Y"
rs11581607-G	2E-24	-	0.93	1.51	-	[NR]	IL23R	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:67242007	33608531	"Wu Y"
rs1521186-G	8E-9	-	0.55	0.91	-	[NR]	RORC	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:151812071	33608531	"Wu Y"
rs6671847-G	2E-12	-	0.49	1.13	-	[NR]	FCGR2A	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:161509020	33608531	"Wu Y"
rs905634-C	8E-13	-	0.69	1.14	-	[NR]	INAVA,MROH3P	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:200915857	33608531	"Wu Y"
rs3024505-G	9E-15	-	0.85	0.84	-	[NR]	Y_RNA,IL10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:206766559	33608531	"Wu Y"
rs10188217-T	4E-8	-	0.48	0.91	-	[NR]	PUS10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	2:60990407	33608531	"Wu Y"
rs13384671-A	9E-9	-	0.69	0.9	-	[NR]	ITGA4,LINC01934	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	2:181446867	33608531	"Wu Y"
rs4551125-G	8E-10	-	0.39	0.9	-	[NR]	RNU1-150P,TTC33	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	5:40438582	33608531	"Wu Y"
rs55722650-C	5E-9	-	0.58	0.9	-	[NR]	P4HA2,PDLIM4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	5:132271607	33608531	"Wu Y"
rs148844907-T	1E-40	-	0.99	0.47	-	[NR]	C6orf47-AS1,C6orf47	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	6:31660620	33608531	"Wu Y"
rs17264332-A	3E-9	-	0.78	0.89	-	[NR]	LINC03004	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	6:137684378	33608531	"Wu Y"
rs6961243-G	5E-9	-	0.59	1.11	-	[NR]	PIGCP2,DLD	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	7:107880959	33608531	"Wu Y"
rs142738614-C	3E-8	-	0.55	0.91	-	[NR]	IRF5	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	7:128937861	33608531	"Wu Y"
rs10761659-A	1E-11	-	0.46	0.89	-	[NR]	LINC02929,ALDH7A1P4	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	10:62685804	33608531	"Wu Y"
rs73370726-C	2E-8	-	0.9	1.19	-	[NR]	MIR4679-2,CH25H	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	10:89093116	33608531	"Wu Y"
rs11403745-C	2E-11	-	0.48	1.12	-	[NR]	LINC01475,GOT1-DT	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	10:99522848	33608531	"Wu Y"
rs2066847-G	2E-9	-	0.98	0.71	-	[NR]	NOD2,CYLD-AS1	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	16:50729868	33608531	"Wu Y"
rs12720356-A	2E-8	-	0.9	0.86	-	[NR]	TYK2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	19:10359299	33608531	"Wu Y"
rs6017342-A	2E-14	-	0.48	0.88	-	[NR]	LINC01620	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	20:44436388	33608531	"Wu Y"
rs1521186-G	8E-9	-	0.55	0.91	-	NR	RORC	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:151812071	33608531	"Wu Y"
chr5:17098189-AT	1E-8	-	0.78	1.13	-	NR	-	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	-	33608531	"Wu Y"
rs10737482-T	3E-16	-	0.39	0.86	-	[NR]	RNF186-AS1,OTUD3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST011501	1:19847365	33608531	"Wu Y"
rs957100-G	9E-9	-	0.3963	0.73	-	-	RNU1-150P,TTC33	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90093115	5:40426318	33600772	"Somineni HK"
rs77894461-T	3E-6	-	0.051	2.2	-	-	UBR4,IFFO2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	1:19059278	35232999	"Garcia-Etxebarria K"
rs6702829-C	2E-6	-	0.232	0.6	-	-	LINC01648,LINC01756	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	1:29439729	35232999	"Garcia-Etxebarria K"
rs6660226-A	2E-6	-	0.453	0.7	-	-	DNAJB6P4,IL12RB2	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	1:67278918	35232999	"Garcia-Etxebarria K"
rs12185578-A	4E-6	-	0.282	1.5	-	-	RAD51AP2,PSMC1P10	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	2:17427972	35232999	"Garcia-Etxebarria K"
rs62266031-G	3E-6	-	0.366	0.6	-	-	LSAMP	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	3:116820621	35232999	"Garcia-Etxebarria K"
rs2030413-A	4E-7	-	0.464	1.5	-	-	BTNL12P	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	3:120363935	35232999	"Garcia-Etxebarria K"
rs3121685-C	4E-6	-	0.532	1.5	-	-	LINC02065,LINC02229	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	5:66366305	35232999	"Garcia-Etxebarria K"
rs2052483-T	3E-6	-	0.214	1.6	-	-	NUDT12,NIHCOLE	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	5:103612484	35232999	"Garcia-Etxebarria K"
rs10515625-C	4E-6	-	0.105	0.5	-	-	AFAP1L1,ABLIM3	"Inflammatory bowel disease"	"inflammatory bowel disease"	-	GCST90020070	5:149267990	35232999	"Garcia-Etxebarria K"
